Rent_price,Bedrooms,Square_meters,Garage,Bathrooms,City,Neighborhood
1.700,3,250,3,2,Uberlândia,Santa Rosa
1.600,3,150,0,2,Uberlândia,Mansour
2.000,2,120,1,3,Uberlândia,Jardim Inconfidência
4.200,4,240,2,4,Uberlândia,Segismundo Pereira
4.000,3,200,5,4,Uberlândia,Santa Mônica
3.800,3,274,5,2,Uberlândia,Segismundo Pereira
3.200,3,164,2,2,Uberlândia,Jardim Patrícia
4.500,5,300,2,5,Uberlândia,Vigilato Pereira
9.500,4,215,2,2,Uberlândia,Jardim Inconfidência
2.800,3,200,2,3,Uberlândia,Centro
10.000,3,300,2,1,Uberlândia,Aclimação
28.000,4,800,5,5,Uberlândia,Morada da Colina
1.400,3,80,2,1,Uberlândia,Minas Gerais
3.000,3,10,2,1,Uberlândia,Novo Mundo
6.000,4,370,2,4,Uberlândia,Custódio Pereira
1.800,1,40,1,1,Uberlândia,Morada da Colina
1.500,3,240,2,3,Uberlândia,Lídice
3.200,3,184,2,3,Uberlândia,Cidade Jardim
2.200,3,156,2,2,Uberlândia,Santa Mônica
2.500,3,200,2,2,Uberlândia,Martins
2.500,3,143,0,1,Uberlândia,Vigilato Pereira
10.000,4,270,4,5,Uberlândia,Jardim das Palmeiras
1.800,2,75,1,1,Uberlândia,Mansões Aeroporto
1.700,2,60,1,1,Uberlândia,Mansões Aeroporto
9.500,3,198,2,5,Uberlândia,Jardim Botânico
2.500,3,150,4,3,Uberlândia,São Jorge
2.950,3,70,1,2,Uberlândia,Martins
1.800,3,70,2,2,Uberlândia,Jardim Brasília
2.800,3,116,2,2,Uberlândia,Santa Mônica
1.650,3,100,1,1,Uberlândia,Cidade Jardim
3.500,4,193,2,1,Uberlândia,Nossa Senhora Aparecida
850,2,49,0,1,Uberlândia,Daniel Fonseca
3.800,3,336,5,3,Uberlândia,Jaraguá
3.000,3,10,2,4,Uberlândia,Novo Mundo
2.800,3,180,2,3,Uberlândia,Lídice
2.300,3,120,3,3,Uberlândia,Jardim Brasília
3.200,3,90,2,2,Uberlândia,Bosque dos Buritis
2.700,2,143,2,2,Uberlândia,Granada
28.000,4,800,5,5,Uberlândia,Morada da Colina
28.000,4,800,5,5,Uberlândia,Morada da Colina
2.200,3,300,4,1,Uberlândia,Brasil
2.980,3,150,2,1,Uberlândia,Martins
2.800,5,210,2,2,Uberlândia,Marta Helena
15.000,3,310,2,5,Uberlândia,Jardim das Palmeiras
800,2,45,1,1,Uberlândia,Presidente Roosevelt
4.000,3,150,2,3,Uberlândia,Segismundo Pereira
2.700,3,230,2,1,Uberlândia,Santa Mônica
3.500,3,200,3,1,Uberlândia,Osvaldo Rezende
10.000,3,310,2,5,Uberlândia,Jardim das Palmeiras
800,2,,0,1,Uberlândia,Morumbi
4.250,3,250,0,3,Uberlândia,Morada dos Pássaros
3.800,3,226,2,3,Uberlândia,Umuarama
5.500,3,215,2,3,Uberlândia,Tabajaras
